symbol,Date,close,high,low,open,volume
DATA,2013-05-17,50.75,52.15,44,47,8408700
DATA,2013-05-20,53.45,59.6,50.7,51.4,2711400
DATA,2013-05-21,53.25,59,52.5,55.11,727200
DATA,2013-05-22,50.26,55.12,47.45,55.11,634900
DATA,2013-05-23,52.92,54.5,48.45,48.45,679300
DATA,2013-05-24,52.49,53.48,52.0601,53.1,173800
DATA,2013-05-28,50.67,53.908,50,53.45,351600
DATA,2013-05-29,50.3,50.65,49.09,50.65,269400
DATA,2013-05-30,51.11,51.5,50,50.57,143800
DATA,2013-05-31,51.1,51.99,50.42,50.74,180500
DATA,2013-06-03,50.34,51.49,50.01,51.49,110400
DATA,2013-06-04,48.53,50.74,48.31,50.74,255100
DATA,2013-06-05,49.61,49.98,48.27,48.5,212000
DATA,2013-06-06,53.02,53.49,49.38,49.87,367500
DATA,2013-06-07,56.21,56.54,52.19,53,464100
DATA,2013-06-10,58.11,58.2,55.78,56.68,375200
DATA,2013-06-11,53.05,57.24,52.1,56.97,348800
DATA,2013-06-12,55.81,56.14,53.9,54.55,328000
DATA,2013-06-13,56.97,58.589,54.35,56.24,384000
DATA,2013-06-14,55.47,57.75,55,57.36,348200
DATA,2013-06-17,54.88,56.7,54.31,55.75,169000
DATA,2013-06-18,54.41,54.96,52.59,54.81,283500
DATA,2013-06-19,53.91,54.88,52.75,54,173700
DATA,2013-06-20,55.4,55.972,53.05,54.27,203200
DATA,2013-06-21,55.27,57.21,54.84,55.38,247600
DATA,2013-06-24,54.93,55.74,52.6,55.41,190900
DATA,2013-06-25,54.42,55.3,53.211,55.3,104600
DATA,2013-06-26,56.68,57.98,53.755,54.77,225500
DATA,2013-06-27,56.41,59.88,55.36,56.73,249900
DATA,2013-06-28,55.42,56.54,54.56,56,486700
DATA,2013-07-01,58.8,59,55.75,57.36,129100
DATA,2013-07-02,58.25,59.83,57.092,58.89,95600
DATA,2013-07-03,60.1,61.45,57.86,58.201,132000
DATA,2013-07-05,62.86,62.97,60.75,61.31,265200
