symbol,Date,close,high,low,open,volume
MSFT,1998-01-02,131.13,131.5,129.5,129.63,4968500
MSFT,1998-01-05,130.38,133.63,127.87,131.25,10047200
MSFT,1998-01-06,131.13,133,129.25,129.75,8479300
MSFT,1998-01-07,129.56,131.19,127.5,129.88,7686600
MSFT,1998-01-08,130.5,132.13,127.5,128.63,9702400
MSFT,1998-01-09,127,131.5,125.87,130.06,10941800
MSFT,1998-01-12,129.5,130,124.37,124.62,9799200
MSFT,1998-01-13,132.13,132.25,128.13,129.5,8368200
MSFT,1998-01-14,131.13,132.5,129.25,132.13,6846800
MSFT,1998-01-15,132.31,133,129.88,130.38,6327800
MSFT,1998-01-16,135.25,135.38,132.31,132.38,9117900
MSFT,1998-01-20,137.81,138,134,134.13,8119500
MSFT,1998-01-21,137,138.44,135.63,137.25,10695900
MSFT,1998-01-22,138.63,139.88,135.31,135.56,19892400
MSFT,1998-01-23,138.25,139.44,136.7,138.75,7914000
MSFT,1998-01-26,141.75,141.88,138.45,139.88,9284700
MSFT,1998-01-27,145.19,145.88,141.56,142.38,12192600
MSFT,1998-01-28,149,149.5,145.5,146.25,9923400
MSFT,1998-01-29,148.25,150.13,147.5,148.94,9196400
MSFT,1998-01-30,149.19,150,147.63,148.63,6258900
MSFT,1998-02-02,154.88,155.13,150.5,151.75,12299700
MSFT,1998-02-03,155.88,156.13,153.81,155.13,7671800
MSFT,1998-02-04,156.81,158,155.06,155.88,7742600
MSFT,1998-02-05,155.44,158.75,154.75,158.13,8376800
MSFT,1998-02-06,158.13,158.25,155.13,155.38,6258800
MSFT,1998-02-09,157.19,158.88,155.63,158.75,6835200
MSFT,1998-02-10,159.25,159.5,156.75,157.25,6012400
MSFT,1998-02-11,158.94,160.06,157.06,159.38,9557500
MSFT,1998-02-12,158.75,158.94,156.44,158.06,9582300
MSFT,1998-02-13,157.5,158.75,157.38,158.63,5275400
MSFT,1998-02-17,154.38,158.5,153.88,158.5,10709200
MSFT,1998-02-18,154.63,156,153.75,154.63,9576100
MSFT,1998-02-19,154.88,156.06,154.25,155.5,9221700
MSFT,1998-02-20,155.13,155.75,152.88,155.5,10761500
MSFT,1998-02-23,81.62,81.69,79.37,80.94,15100450
